detectado,evento,facultad,carrera,modalidad
2026-09-25 20:27,habilitada,FCCSS,Medicina,Presencial
2026-09-25 15:38,habilitada,FECYT,Educación Inicial,Presencial
2026-09-25 12:54,habilitada,FICA,Textiles,Presencial
2026-09-25 10:25,habilitada,FECYT,Pedagogía de las Artes y las Humanidades,Presencial
2026-09-25 10:24,habilitada,FECYT,Entrenamiento Deportivo,Presencial
2026-09-25 09:42,habilitada,FECYT,Psicología (Rediseño),Presencial
2026-09-25 08:56,habilitada,FECYT,Psicología Educativa,Presencial
2026-09-25 08:52,habilitada,FECYT,Psicopedagogía,Presencial
2026-09-25 08:49,habilitada,FECYT,Pedagogía de la Actividad Fisica y Deporte,Presencial
2026-09-25 08:42,habilitada,FECYT,Pedagogía de las Ciencias Experimentales Matemáticas y Física,Presencial
2026-09-25 08:35,habilitada,FICA,Ciencia de Datos e Inteligencia Artificial,Presencial
2026-09-25 08:34,habilitada,FICA,Software,Presencial
2026-09-25 08:28,habilitada,FICA,Tecnologías de la Información - En Línea,En Línea
2026-09-25 08:27,habilitada,FICA,Ingeniería Industrial (Rediseño),Presencial
2026-09-25 08:24,habilitada,FICA,Telecomunicaciones,Presencial
2026-09-24 16:41,habilitada,FICA,Mecatrónica (Rediseño),Presencial
2026-09-24 15:46,habilitada,FECYT,Educación Inicial - En Línea,En Línea
2026-09-24 15:36,habilitada,FICA,Electricidad,Presencial
2026-09-24 15:35,habilitada,FICA,Ingeniería Automotriz,Presencial
2026-09-24 15:12,habilitada,FECYT,Pedagogía de las Ciencias Experimentales Química y Biología,Presencial
2026-09-24 15:11,habilitada,FICAYA,Medicina Veterinaria,Presencial
2026-09-24 15:10,habilitada,FECYT,Publicidad,Presencial
2026-09-24 15:08,habilitada,FECYT,Artes Plásticas (Rediseño),Presencial
2026-09-24 15:07,habilitada,FECYT,Pedagogía de los Idiomas Nacionales y Extranjeros,Presencial
2026-09-24 15:06,habilitada,FECYT,Comunicación,Presencial
2026-09-24 15:05,habilitada,FECYT,Psicología - En Línea,En Línea
2026-09-24 15:02,habilitada,FECYT,Educación Básica - En Línea,En Línea
2026-09-24 15:02,habilitada,FECYT,Pedagogía de los Idiomas Nacionales y Extranjeros - En Línea,En Línea
2026-09-24 14:47,habilitada,FECYT,Comunicación - En Línea,En Línea
2026-09-24 14:47,habilitada,FECYT,Diseño Grafico (Rediseño),Presencial
2026-09-24 14:47,habilitada,FECYT,Educación Básica,Presencial
2026-09-24 14:41,ya habilitada,FACAE,Administración de Empresas (Rediseño),Presencial
2026-09-24 14:41,ya habilitada,FACAE,Contabilidad y Auditoria (Rediseño),Presencial
2026-09-24 14:41,ya habilitada,FACAE,Contabilidad y Auditoria (Rediseño),Semipresencial
2026-09-24 14:41,ya habilitada,FACAE,Criminología y Ciencias Forenses,Presencial
2026-09-24 14:41,ya habilitada,FACAE,Derecho (Rediseño),Presencial
2026-09-24 14:41,ya habilitada,FACAE,Derecho - En Línea,En Línea
2026-09-24 14:41,ya habilitada,FACAE,Economía (Rediseño),Presencial
2026-09-24 14:41,ya habilitada,FACAE,Economía - En Línea,En Línea
2026-09-24 14:41,ya habilitada,FACAE,Gastronomía (Rediseño),Presencial
2026-09-24 14:41,ya habilitada,FACAE,Mercadotecnia (Rediseño),Presencial
2026-09-24 14:41,ya habilitada,FACAE,Negocios Digitales,Presencial
2026-09-24 14:41,ya habilitada,FACAE,Turismo (Rediseño),Presencial
2026-09-24 14:41,ya habilitada,FACAE,Turismo - En Línea,En Línea
2026-09-24 14:41,ya habilitada,FICAYA,Agroindustria,Presencial
2026-09-24 14:41,ya habilitada,FICAYA,Agropecuaria,Presencial
2026-09-24 14:41,ya habilitada,FICAYA,Biotecnología (Rediseño),Presencial
2026-09-24 14:41,ya habilitada,FICAYA,Ingeniería Ambiental,Presencial
2026-09-24 14:41,ya habilitada,FICAYA,Ingeniería Forestal,Presencial
2026-09-24 14:41,ya habilitada,FICAYA,Ingeniería en Energías Renovables (Rediseño),Presencial
2026-09-24 14:41,ya habilitada,FICAYA,Recursos Naturales Renovables (Rediseño),Presencial
